date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:04:47	3240845/3240845	---M--	200	added ('OK')	application/pdf	etag:%2245e0082-31738d-5457d5c38ad00%22	http://schema.geolink.org/patterns/core/main-pattern-collections.pdf	mirror/schema.geolink.org/patterns/core/main-pattern-collections.pdf	(from http://schema.geolink.org/patterns/index.html)
22:06:57	923617/923617	---M--	200	added ('OK')	text/xml	etag:%224600171-e17e1-529c0365bd180%22	http://schema.geolink.org/1.0/voc/nvs/P02.owl	mirror/schema.geolink.org/1.0/voc/nvs/P02.owl	(from http://schema.geolink.org/voc/index.html)
22:06:58	337/337	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:06:57%20GMT	http://schema.geolink.org/1.0/voc/nvs/P03	mirror/schema.geolink.org/1.0/voc/nvs/P03.57.delayed	(from http://schema.geolink.org/voc/index.html)
22:07:49	161735/161735	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2022:06:58%20GMT	http://schema.geolink.org/1.0/voc/nvs/P03.html	mirror/schema.geolink.org/1.0/voc/nvs/P03.html	(from http://schema.geolink.org/voc/index.html)
22:08:10	145375/145375	---M--	200	added ('OK')	text/xml	etag:%224600173-237df-529c0365bd180%22	http://schema.geolink.org/1.0/voc/nvs/P03.owl	mirror/schema.geolink.org/1.0/voc/nvs/P03.owl	(from http://schema.geolink.org/voc/index.html)
22:08:11	337/337	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:08:10%20GMT	http://schema.geolink.org/1.0/voc/nvs/C17	mirror/schema.geolink.org/1.0/voc/nvs/C17.5a.delayed	(from http://schema.geolink.org/voc/index.html)
22:08:13	2419597/2419597	---M--	200	added ('OK')	text/xml	etag:%22460016f-24eb8d-529c0365bd180%22	http://schema.geolink.org/1.0/voc/nvs/L22.owl	mirror/schema.geolink.org/1.0/voc/nvs/L22.owl	(from http://schema.geolink.org/voc/index.html)
22:08:13	336/336	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:08:11%20GMT	http://schema.geolink.org/1.0/voc/nvs/C17.html	mirror/schema.geolink.org/1.0/voc/nvs/C17.html	(from http://schema.geolink.org/voc/index.html)
22:08:17	336/336	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:08:15%20GMT	http://schema.geolink.org/1.0/voc/nvs/C17.html	mirror/schema.geolink.org/1.0/voc/nvs/C17.5d.delayed	(from http://schema.geolink.org/voc/index.html)
22:08:19	335/335	---M--	303	error ('See%20Other')	text/html	date:Wed,%2015%20Aug%202018%2022:08:17%20GMT	http://schema.geolink.org/1.0/voc/local	mirror/schema.geolink.org/1.0/voc/local	(from http://schema.geolink.org/1.0/base/main.html)
22:10:13	1224083/1224083	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2022:03:11%20GMT	http://schema.geolink.org/1.0/voc/nvs/P02.html	mirror/schema.geolink.org/1.0/voc/nvs/P02.html	(from http://schema.geolink.org/voc/index.html)
22:17:25	2756702/2756702	---MC-	200	added ('OK')	text/html	date:Wed,%2015%20Aug%202018%2022:01:47%20GMT	http://schema.geolink.org/1.0/voc/nvs/L22.html	mirror/schema.geolink.org/1.0/voc/nvs/L22.html	(from http://schema.geolink.org/voc/index.html)
22:22:39	10303835/10303835	---M--	200	added ('OK')	text/xml	etag:%224601098-9d395b-529c0365bd180%22	http://schema.geolink.org/1.0/voc/nvs/C17.owl	mirror/schema.geolink.org/1.0/voc/nvs/C17.owl	(from http://schema.geolink.org/voc/index.html)
